,strasse,size,start_datum,end_datum,merge_index,start,ende,strasse_geodaten,lat,lon,_merge
0,Allmannsdorfer Straße,2.0,2021-01-01 00:00:00,2021-01-25 10:30:00,0,2020-11-02,2021-01-25,Allmannsdorfer Straße,47.67369194517152,9.18668449750901,both
1,Alten Graben,2.0,2021-12-17 10:00:00,2021-12-31 23:30:00,1,2021-12-16,2022-02-01,Alten Graben,47.66123565925213,9.163786665843851,both
2,Am Briel,2.0,2021-06-28 10:00:00,2021-08-23 09:00:00,2,2021-06-28,2021-08-23,Am Briel,47.676584605259045,9.174617112007068,both
3,Am Pfeiferhoelzle,2.0,2021-06-14 14:00:00,2021-09-13 12:00:00,3,2021-06-14,2021-08-17,Am Pfeiferhölzle,47.68244019211192,9.175267642740334,both
4,Am Pfeiferhoelzle,2.0,2021-06-14 14:00:00,2021-09-13 12:00:00,3,2021-08-17,2021-09-13,Am Pfeiferhölzle,47.68244019211192,9.175267642740334,both
5,Austraße,2.0,2021-02-18 12:00:00,2021-12-31 23:30:00,4,2021-02-18,2021-05-03,Austraße,47.679104211115686,9.166555734239603,both
6,Austraße,2.0,2021-02-18 12:00:00,2021-12-31 23:30:00,4,2021-12-20,2022-03-02,Austraße,47.67930122264343,9.165678687959982,both
7,Bodanstraße,2.0,2021-01-01 00:00:00,2021-03-09 08:00:00,5,2020-11-24,2021-02-18,Bodanstraße,47.65820806265448,9.173236887900252,both
8,Bodanstraße,2.0,2021-01-01 00:00:00,2021-03-09 08:00:00,5,2021-02-18,2021-03-09,Bodanstraße,47.65820806265448,9.173236887900252,both
9,Breslauer Straße,2.0,2021-09-01 00:00:00,2021-12-06 10:00:00,6,2021-08-31,2021-10-18,Breslauer Straße,47.6851804928014,9.150923560907144,both
10,Breslauer Straße,2.0,2021-09-01 00:00:00,2021-12-06 10:00:00,6,2021-10-18,2021-12-06,Breslauer Straße,47.6851804928014,9.150923560907144,both
11,Bruder-Klaus-Straße,2.0,2021-03-03 12:00:00,2021-05-03 12:00:00,7,2021-03-03,2021-05-03,Bruder-Klaus-Straße,47.67344892740524,9.172605249695224,both
12,Bruelstraße,2.0,2021-07-20 00:00:00,2021-09-13 12:00:00,8,2021-07-19,2021-09-13,Brüelstraße,47.663943783180784,9.16597058105774,both
13,Buhlenweg,2.0,2021-01-01 00:00:00,2021-08-31 09:30:00,9,2020-09-30,2021-01-11,Buhlenweg,47.68431775105679,9.159422688951752,both
14,Buhlenweg,2.0,2021-01-01 00:00:00,2021-08-31 09:30:00,9,2021-07-19,2021-08-31,Buhlenweg,47.6842468043315,9.15934790726834,both
15,Byk-Gulden-Straße,2.0,2021-05-03 10:00:00,2021-08-09 12:00:00,10,2021-05-03,2021-06-21,Byk-Gulden-Straße,47.68284719933883,9.13987080329523,both
16,Byk-Gulden-Straße,2.0,2021-05-03 10:00:00,2021-08-09 12:00:00,10,2021-06-21,2021-08-09,Byk-Gulden-Straße,47.68284719933883,9.13987080329523,both
17,Bücklestraße,2.0,2021-01-01 00:00:00,2021-01-12 10:30:00,11,2020-10-22,2021-01-12,Bücklestraße,47.67733758312807,9.168298376596637,both
18,Eichhornstraße,2.0,2021-08-09 11:00:00,2021-10-21 10:00:00,12,2021-08-09,2021-09-28,Eichhornstraße,47.667047096365366,9.198814681775184,both
19,Eichhornstraße,2.0,2021-08-09 11:00:00,2021-10-21 10:00:00,12,2021-09-28,2021-10-21,Eichhornstraße,47.667047096365366,9.198814681775184,both
20,Felchengang,2.0,2021-03-02 12:00:00,2021-03-23 11:30:00,13,2021-03-02,2021-03-23,Felchengang,47.68094178571464,9.208568996898435,both
21,Friedrichstraße,2.0,2021-01-01 00:00:00,2021-08-09 09:00:00,14,2020-12-14,2021-01-28,Friedrichstraße,47.6795465,9.1845626,both
22,Friedrichstraße,2.0,2021-01-01 00:00:00,2021-08-09 09:00:00,14,2021-06-21,2021-08-09,Friedrichstraße,47.67988620910961,9.184347530583118,both
23,Fritz-Arnold-Straße,2.0,2021-09-13 00:00:00,2021-12-06 10:30:00,15,2021-09-13,2021-10-18,Fritz-Arnold-Straße,47.674744844452285,9.146967311104252,both
24,Fritz-Arnold-Straße,2.0,2021-09-13 00:00:00,2021-12-06 10:30:00,15,2021-10-18,2021-12-06,Fritz-Arnold-Straße,47.67561983191428,9.145858254956746,both
