,strasse,size,start_datum,end_datum,merge_index,start,ende,strasse_geodaten,lat,lon,_merge
0,Allmannsdorfer Straße,10.0,2020-09-30 10:30:00,2020-12-31 23:30:00,0,2020-09-30,2020-11-02,Allmannsdorfer Straße,47.67368024802081,9.186564670252242,both
1,Allmannsdorfer Straße,10.0,2020-09-30 10:30:00,2020-12-31 23:30:00,0,2020-11-02,2021-01-25,Allmannsdorfer Straße,47.67369194517152,9.18668449750901,both
2,Beyerlestraße Blindmessung,3.0,2020-04-02 11:00:00,2020-07-06 10:30:00,1,2020-04-01,2020-07-06,Beyerlestraße,47.67599143166216,9.18664329015064,both
3,Bodanstraße,10.0,2020-11-02 12:00:00,2020-12-31 23:30:00,2,2020-11-02,2020-11-24,Bodanstraße,47.65820806265448,9.173236887900252,both
4,Bodanstraße,10.0,2020-11-02 12:00:00,2020-12-31 23:30:00,2,2020-11-24,2021-02-18,Bodanstraße,47.65820806265448,9.173236887900252,both
5,Breslauer Straße,7.0,2020-02-25 11:00:00,2020-06-16 09:30:00,3,2020-02-25,2020-05-27,Breslauer Straße,47.68488699669116,9.151845089256817,both
6,Breslauer Straße,7.0,2020-02-25 11:00:00,2020-06-16 09:30:00,3,2020-05-27,2020-06-16,Breslauer Straße,47.68488699669116,9.151845089256817,both
7,Buhlenweg,7.0,2020-09-30 13:30:00,2020-12-31 23:30:00,4,2020-09-30,2021-01-11,Buhlenweg,47.68431775105679,9.159422688951752,both
8,Bücklestraße,5.0,2020-10-22 12:30:00,2020-12-31 23:30:00,5,2020-10-22,2021-01-12,Bücklestraße,47.67733758312807,9.168298376596637,both
9,Eichhornstraße,6.0,2020-02-27 14:00:00,2020-07-20 09:00:00,6,2020-05-07,2020-07-20,Eichhornstraße,47.667047096365366,9.198814681775184,both
10,Engelsteig,3.0,2020-09-02 12:00:00,2020-10-12 10:30:00,7,2020-09-02,2020-10-12,Engelsteig,47.69260597646371,9.14514555832596,both
