,strasse,size,start_datum,end_datum,merge_index,start,ende,strasse_geodaten,lat,lon,_merge
0,Allmannsdorfer Straße,7.0,2024-04-09 11:30:00,2024-06-17 10:30:00,0,2024-04-09,2024-06-17,Allmannsdorfer Straße,47.67373532224035,9.187128858302016,both
1,Alter Bannweg,2.0,2024-01-01 00:30:00,2024-03-11 10:00:00,1,2023-10-23,2024-01-08,Alter Bannweg,47.68005072612146,9.1720723861171,both
2,Alter Bannweg,2.0,2024-01-01 00:30:00,2024-03-11 10:00:00,1,2024-01-08,2024-03-11,Alter Bannweg,47.68005072612146,9.1720723861171,both
3,Am Pfeiferhölzle,4.0,2024-06-18 00:00:00,2024-08-12 11:30:00,2,2024-06-17,2024-08-12,Am Pfeiferhölzle,47.6826545732775,9.17376542155614,both
4,Breslauer Straße,4.0,2024-01-01 10:00:00,2024-02-11 23:30:00,3,2023-11-07,2024-01-18,Breslauer Straße,47.6851804928014,9.150923560907144,both
5,Breslauer Straße,4.0,2024-01-01 10:00:00,2024-02-11 23:30:00,3,2024-01-18,2024-02-12,Breslauer Straße,47.6851804928014,9.150923560907144,both
6,Bruder-Klaus-Straße,4.0,2024-01-12 10:00:00,2024-01-30 07:00:00,4,2023-11-27,2024-01-30,Bruder-Klaus-Straße,47.6732309336368,9.17328596392177,both
7,Eichhornstraße,4.0,2024-01-01 00:00:00,2024-08-19 11:00:00,5,2023-10-23,2024-01-12,Eichhornstraße,47.66825923578631,9.194803472921292,both
8,Eichhornstraße,4.0,2024-01-01 00:00:00,2024-08-19 11:00:00,5,2024-07-08,2024-08-19,Eichhornstraße,47.66701138378573,9.209378076761665,both
9,Grundschule Wollmatingen,6.0,2024-01-12 00:00:00,2024-02-13 09:30:00,6,2024-01-11,2024-02-13,Schwaketenstraße,47.68999110827243,9.148079333161943,both
10,Hoheneggstraße,2.0,2024-03-19 13:00:00,2024-07-15 09:00:00,7,2024-03-19,2024-05-13,Hoheneggstraße,47.68061218539522,9.207315868612724,both
11,Hoheneggstraße,2.0,2024-03-19 13:00:00,2024-07-15 09:00:00,7,2024-05-13,2024-07-15,Hoheneggstraße,47.68061218539522,9.207315868612724,both
12,Jacob-Burckhardt-Straße,3.0,2024-07-02 00:00:00,2024-08-19 10:00:00,8,2024-07-01,2024-08-19,Jacob-Burckhardt-Straße,47.68131368105249,9.18761901741526,both
13,Kindlebildstraße,6.0,2024-02-12 12:00:00,2024-07-22 10:00:00,9,2024-02-12,2024-02-27,Kindlebildstraße,47.6918589,9.1423292,both
14,Kindlebildstraße,6.0,2024-02-12 12:00:00,2024-07-22 10:00:00,9,2024-05-21,2024-07-22,Kindlebildstraße,47.69169824092223,9.140382543964217,both
15,Längerbohlstraße,2.0,2024-04-09 13:30:00,2024-07-22 12:30:00,10,2024-04-09,2024-06-03,Längerbohlstraße,47.68709483398752,9.15429706628598,both
16,Längerbohlstraße,2.0,2024-04-09 13:30:00,2024-07-22 12:30:00,10,2024-06-03,2024-07-22,Längerbohlstraße,47.68709483398752,9.15429706628598,both
17,Mainaustraße,10.0,2024-04-09 11:00:00,2024-07-01 11:30:00,11,2024-04-09,2024-06-03,Mainaustraße,47.67696359617684,9.19853358790198,both
18,Mainaustraße,10.0,2024-04-09 11:00:00,2024-07-01 11:30:00,11,2024-06-17,2024-07-01,Mainaustraße,47.67696359617684,9.19853358790198,both
19,Mainaustraße Hoehe Schule,4.0,2024-01-01 10:00:00,2024-01-11 11:30:00,12,2023-11-07,2024-01-11,Mainaustraße,47.68150224402573,9.202231565711656,both
20,Radolfzeller Straße,7.0,2024-04-29 14:00:00,2024-08-26 12:00:00,13,2024-04-29,2024-07-01,Radolfzeller Straße,47.69028306180859,9.14725145128156,both
21,Radolfzeller Straße,7.0,2024-04-29 14:00:00,2024-08-26 12:00:00,13,2024-07-01,2024-08-26,Radolfzeller Straße,47.69355782914597,9.14387128577202,both
22,Reichenaustraße,20.0,2024-07-15 10:30:00,2024-08-26 00:00:00,14,2024-07-15,2024-08-26,Reichenaustraße,47.675277952914456,9.152292515879443,both
23,Schiffstraße,7.0,2024-06-24 14:30:00,2024-08-19 09:00:00,15,2024-06-24,2024-08-19,Schiffstraße,47.68270726794879,9.206153623497228,both
24,Schwaketenstraße,4.0,2024-01-01 00:00:00,2024-02-13 13:00:00,16,2023-11-27,2024-01-11,Schwaketenstraße,47.6878358,9.1616193,both
25,Schwaketenstraße,4.0,2024-01-01 00:00:00,2024-02-13 13:00:00,16,2024-01-11,2024-02-13,Schwaketenstraße,47.6878358,9.1616193,both
26,Taborweg,4.0,2024-04-09 09:30:00,2024-06-17 09:00:00,17,2024-04-09,2024-06-17,Taborweg,47.68007413107302,9.169625606158132,both
27,Untere Laube,6.0,2024-01-01 00:00:00,2024-01-04 22:00:00,18,2023-11-07,2024-01-08,Untere Laube,47.66376824512998,9.17326063537802,both
28,Wollmatinger Straße,11.0,2024-03-20 10:30:00,2024-05-13 00:00:00,19,2024-03-20,2024-05-13,Wollmatinger Straße,47.67680919657132,9.17691629092158,both
