start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
03.08.2020,22.10.2020,Kuhmoosweg ,,7,Universitaetsstr.,100.0,,,Viasis,,,Kuhmoosweg,78645,,47.68217838299786,9.179453306968394,47.68241518243021,9.179526977902905
18.08.2020,30.09.2020,Hermann-Hesse-Weg,,12,Therme,70.0,,,,,,Hermann-Hesse-Weg,78218,,47.66472572397149,9.206765462583869,47.66484741019276,9.2068655697819
18.08.2020,22.10.2020,Herosestraße,,9,Wendeflaeche,40.0,,,,,,Herosestraße,78232,,47.68446897023156,9.158202175384384,47.6840926,9.1575419
31.08.2020,11.09.2020,Schwaketenstraße,,3,Radolfzeller Str.,100.0,,,,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
11.09.2020,12.10.2020,Schwaketenstraße,,3,Radolfzeller Str.,100.0,,,Statistik erfasst Tag/Nacht nicht,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
31.08.2020,05.11.2020,Rheingutstraße,,35,Hans-Breinlinger-Str.,170.0,,,,,,Rheingutstraße,79275,,47.667270172748445,9.165448076602232,47.66739883901232,9.165462880636747
02.09.2020,12.10.2020,Engelsteig,,1,Radolfzeller Str.,100.0,,,,,,Engelsteig,77721,,47.6925353505573,9.145235089146716,47.69260597646371,9.14514555832596
02.09.2020,24.11.2020,Radolfzeller Straße,,65,Fuerstenbergstr.,100.0,,,,,,Radolfzeller Straße,79184,,47.69350977989437,9.143605650058308,47.693624947446025,9.143645220870615
30.09.2020,02.11.2020,Allmannsdorfer Straße,,26,Mainaustr.,70.0,,,,,,Allmannsdorfer Straße,77014,,47.67355244361336,9.186577146106696,47.67368024802081,9.186564670252242
30.09.2020,11.01.2021,Buhlenweg,,22,Schwaketenstrasse,100.0,,,,,,Buhlenweg,77490,,47.68424863604211,9.159488259606697,47.68431775105679,9.159422688951752
12.10.2020,30.11.2020,Zur Friedrichshöhe ,,13,Silvanerweg ,30.0,,,,,,Zur Friedrichshöhe,80143,,47.67561697523089,9.192562772499516,47.67573575862587,9.19276074482448
12.10.2020,11.12.2020,Schwaketenstraße,,3,GSS,50.0,,,Statistik erfasst Tag/Nacht nicht,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
12.10.2020,25.01.2021,Karlsruherstraße,,23,Hardtstr.,50.0,,,Viasis,,,Karlsruher Straße,78484,,47.68437948351662,9.149722815468492,47.68427730794821,9.14970142488376
22.10.2020,19.01.2021,Litzelstetter Str,,30,Radolfzeller Str.,60.0,,,Viasis,,,Litzelstetter Straße,78715,,47.69233656392019,9.148976778407066,47.692466542468566,9.148973683679726
22.10.2020,12.01.2021,Buecklestraße,,76,Schneckenburgerstr.,50.0,,,,,,Bücklestraße,77476,,47.67747251752976,9.168338335941806,47.67733758312807,9.168298376596637
22.10.2020,02.11.2020,Im Grund (Dettingen),,28,Dingelsdorfer Str.,60.0,,,,,,Im Grund,78338,,47.73487876965405,9.120882981506805,47.73496400898946,9.121033031160094
02.11.2020,24.11.2020,Bodan Straße,,19,Bahnhof,80.0,,,,,,Bodanstraße,77364,,47.658080214198016,9.173221320420648,47.65820806265448,9.173236887900252
02.11.2020,25.01.2021,Allmannsdorfer Straße,,28,Zaehringerplatz,50.0,,,,,,Allmannsdorfer Straße,77014,,47.6735630457767,9.186697080252603,47.67369194517152,9.18668449750901
02.11.2020,14.12.2020,Friedrich Straße,,65,Zaehringerplatz,50.0,,Statistik fehlt ,,,,Friedrichstraße,77889,,47.67946326347804,9.184431314150777,47.6795465,9.1845626
02.11.2020,24.11.2020,Im Grund (Dettingen),,28,Ortmitte,50.0,,,,,,Im Grund,78338,,47.73487876965405,9.120882981506805,47.73496400898946,9.121033031160094
05.11.2020,12.01.2021,Rheingutstraße,,36,HTWG,40.0,,,,,,Rheingutstraße,79275,,47.6677174790292,9.165863619181817,47.66735855085348,9.165823644103602
24.11.2020,18.02.2021,Bodanstraße,,19,Laube,50.0,,,,,,Bodanstraße,77364,,47.658080214198016,9.173221320420648,47.65820806265448,9.173236887900252
24.11.2020,23.02.2021,Reichenaustraße,,19,Spanierstrasse,40.0,,,,,,Reichenaustraße,79240,,47.67137297680365,9.16685817713224,47.6716912912142,9.166875950406816
24.11.2020,18.02.2021,Feuersteinstraße,,7,Zfp,50.0,,,keine Rohdatei,,,Feursteinstraße,77808,,47.69043327020264,9.13325907475379,47.690595869086216,9.133296771429633
30.11.2020,02.03.2021,Taborweg,,13,Pfeiferhoelzle,40.0,,,keine Rohdatei,,,Taborweg,79793,,47.68016274341405,9.169496540961882,47.68007413107302,9.169625606158132
11.12.2020,28.01.2021,Schwaketenstraße,,3,GSS,50.0,,,,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
14.12.2020,28.01.2021,Friedrich Straße,,65,Zaehringerplatz,50.0,,,,,,Friedrichstraße,77889,,47.67946326347804,9.184431314150777,47.6795465,9.1845626
11.01.2021,09.03.2021,Buhlenweg ,,23,Fuerstenbergstr.,40.0,,,,,,Buhlenweg,77490,,47.68595358215512,9.160345855092917,47.68586205093614,9.160392243081503
12.01.2021,10.05.2021,Rheinsteig ,,4,Laube,50.0,,,,,,Rheinsteig,79282,,47.6660743807698,9.177195788915316,47.66599238199294,9.177147266838382
12.01.2021,02.03.2021,Mainaustraße Dreherkurve,,98,Faehre,50.0,,,keine Rohdatei,,,Mainaustraße,78799,,47.6773453260536,9.198798863825331,47.67721296385649,9.198441282131038
19.01.2021,18.02.2021,Zum alten Sägewerk,,10,Einwaerts,25.0,,,Viasis,,,Am alten Sägewerk,77020,,47.688708883601365,9.145183556097464,47.688815898853946,9.145208352314528
25.01.2021,09.03.2021,Karlsruherstraße,,4,Riedstr.,30.0,,,Viasis,,,Karlsruher Straße,78484,,47.68392204876846,9.150816243511622,47.6840393301246,9.150840467696492
25.01.2021,23.03.2021,Riedstraße,,5,Wollmatinger-Bahnhof,50.0,,,,,,Riedstraße,79303,,47.68626539572591,9.148548012738065,47.68631607111137,9.148370648888964
28.01.2021,02.03.2021,Schwaketenstraße,,3,Radolfzeller Str.,50.0,,,keine Rohdatei,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
28.01.2021,02.03.2021,Friedrich Straße,,65,Universitaetsstr.,50.0,,,,,,Friedrichstraße,77889,,47.67946326347804,9.184431314150777,47.6795465,9.1845626
18.02.2021,09.03.2021,Bodanstraße,,19,Bahnhof,50.0,,,,,,Bodanstraße,77364,,47.658080214198016,9.173221320420648,47.65820806265448,9.173236887900252
18.02.2021,03.05.2021,Austraße,,75,Fuerstenberg,50.0,,,,,,Austraße,77203,,47.67902301930205,9.166537496064931,47.679104211115686,9.166555734239603
18.02.2021,06.04.2021,Eichbuehlstraße,,16,Ortsausgang,40.0,,,Viasis,,,Eichbühlstraße,77658,,47.68920508087879,9.1424755320526,47.68906511699342,9.142468912139105
23.02.2021,03.05.2021,Reichenaustraße,,19,Bruecke,40.0,,,Statistik erfasst Tag/Nacht nicht,,,Reichenaustraße,79240,,47.67137297680365,9.16685817713224,47.6716912912142,9.166875950406816
02.03.2021,23.03.2021,Felchengang,,19,Staader Strasse,40.0,,,,,,Felchengang,77791,,47.6809161732169,9.20827264885758,47.68094178571464,9.208568996898435
02.03.2021,23.03.2021,Staader Straße,,28,Felchengang,50.0,,,,,,Staader Straße,79709,,47.67983476574189,9.206965581393783,47.67996308515614,9.206983193862406
02.03.2021,10.05.2021,Mainaustraße Dreherkurve,,98,Stadteinwaerts,50.0,,,,,,Mainaustraße,78799,,47.6773453260536,9.198798863825331,47.67721296385649,9.198441282131038
