start,ende,strasse,geschwindigkeit,hausnummer,fahrtrichtung,reichweite,akkuwechsel,anmerkung1,anmerkung2,hausnummer_geodaten,hausnummer_zusatz,strasse_geodaten,id_strasse,id_standort,lat_geodaten,lon_geodaten,lat_osm,lon_osm
18.10.2021,06.12.2021,Fritz-Arnold-Straße,,6,Stromeyersdorf,50.0,,,,,,Fritz-Arnold-Straße,77896,,47.675469741005166,9.145775374371484,47.67561983191428,9.145858254956746
18.10.2021,08.11.2021,Steinrennen,,6,Bettweisen,30.0,,,Viasis,,,Steinrennen,79738,,47.73770243746845,9.154119025673076,47.73781248903735,9.1542718791926
18.10.2021,08.11.2021,Hofhalde,,4,Wessenbergstr.,30.0,,,Viasis,,,Hofhalde,78267,,47.66235887692731,9.176661111960724,47.662312979608885,9.176641341752177
25.10.2020,06.12.2021,Im Grund (Dettingen),,28,Ortsmitte,50.0,,,,,,Im Grund,78338,,47.73487876965405,9.120882981506805,47.73496400898946,9.121033031160094
02.11.2021,20.12.2021,Schwaketenstraße,,3,Uni ,50.0,,,Statistik erfasst Tag/Nacht nicht,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
08.11.2021,29.11.2021,Steinrennen,,4,Thingoltstr.,20.0,,,Viasis,,,Steinrennen,79738,,47.73824720285257,9.153745960295288,47.73834817145486,9.153886198243509
08.11.2021,29.11.2021,Hofhalde,,4,Konzilstrasse,30.0,,,Viasis,,,Hofhalde,78267,,47.66235887692731,9.176661111960724,47.662312979608885,9.176641341752177
15.11.2021,16.12.2021,Schiffstraße,,20,Mainaustr.,50.0,,,,,,Schiffstraße,79499,,47.68251659655355,9.206128109755882,47.68270726794879,9.206153623497228
29.11.2021,24.01.2022,Clara-Schumann-Straße,,3,Wendeplatte,40.0,,,Viasis,,,Clara-Schumann-Straße,77521,,47.667946073846885,9.197430464741217,47.6678914417452,9.197505549028673
29.11.2021,24.01.2022,Stockackerweg,,15,Friedrichstr.,50.0,,,Viasis,,,Stockackerweg,79772,,47.67969202369579,9.183114971306376,47.67979901824603,9.183178768163666
06.12.2021,07.12.2021,Max-Stromeyer-Straße,,15,Stadtauswaerts,50.0,,,/,,,Max-Stromeyer-Straße,78862,,47.67446092492536,9.165473735788993,47.67463491663747,9.165523012874363
02.11.2021,20.12.2021,Schwaketenstraße,,3,Uni ,50.0,,04.01.22 Neuer Text,Statistik erfasst Tag/Nacht nicht,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
06.12.2021,04.01.2022,Gustav-Schwab-Straße,,10,Moltkestrasse,50.0,,,,,,Gustav-Schwab-Straße,78078,,47.6728520581901,9.178028287325736,47.67268718245506,9.177947389044874
06.12.2021,14.12.2021,Sonnenbuehlstraße,,89,Friedrichstr.,50.0,,,,,,Sonnenbühlstraße,79674,,47.67742869623382,9.195258113008682,47.67726303327788,9.19514550145772
06.12.2021,24.01.2022,Mainaustraße,,74,Allmannsdorferstr.,50.0,,04.01.22 Neuer Text,,,,Mainaustraße,78799,,47.67375640420829,9.196400085445326,47.67390833135424,9.196333847312491
06.12.2022,16.02.2022,Radolfzeller Straße,,47,Fuerstenberg,50.0,,01.02.22 neuer text,,,,Radolfzeller Straße,79184,,47.69296857485266,9.144747466612218,47.693103924482735,9.144871979425517
14.12.2021,20.12.2021,Sonnenbuehlstraße,,89,Friedrichstr.,50.0,,ab ca. 13.12.2021 30er-Zone,,,,Sonnenbühlstraße,79674,,47.67742869623382,9.195258113008682,47.67726303327788,9.19514550145772
16.12.2021,01.02.2022,Alten Graben ,,7,Wendeplatz,50.0,,05.01.22 Neuer Text,,,,Alten Graben,77042,,47.6611278290164,9.163726944923608,47.66123565925213,9.163786665843851
20.12.2021,16.02.2022,Sonnenbuehlstraße,,12,Mainaustr.,50.0,,04.01.22 Neuer Text,,,,Sonnenbühlstraße,79674,,47.67983965029186,9.186427555547814,47.679978570657966,9.18646391211746
20.12.2021,02.03.2022,Austraße,,83,Cherisy,50.0,,04.01.22 Neuer Text,,,,Austraße,77203,,47.67922034858062,9.1656605211619,47.67930122264343,9.165678687959982
10.01.2022,16.03.2022,Mainaustraße,,147,Staad,,,Messung reicht in den 50 km/h Bereich hinein,,,,Mainaustraße,78799,,47.681764553855416,9.202141299330178,47.68169605238244,9.202310178885774
19.01.2022,19.04.2022,Fritz-Arnold-Straße,,19,Gottlieb-Daimler-Strasse,70.0,,Messung reicht in den 50 km/h Bereich hinein,Messung von Handy geschluckt ,,,Fritz-Arnold-Straße,77896,,47.67328206967338,9.14821009141823,47.67315746869196,9.148006844625057
21.01.2022,29.03.2022,Feuersteinstraße,,7,ZfP,50.0,,ohne Solarpanel installiert!!!,,,,Feursteinstraße,77808,,47.69043327020264,9.13325907475379,47.690595869086216,9.133296771429633
24.01.2022,24.05.2022,Mainaustraße,,90,Staad ,80.0,,Messung reicht in den 50 km/h Bereich hinein,Statistik der Baustelle wird nicht benoetigt ,,,Mainaustraße,78799,,47.67666162775284,9.198829440117796,47.67664605715552,9.198647415701307
24.01.2022,30.03.2022,Siedlerweg,,9,Sackgasse,50.0,,,Viasis,,,Siedlerweg,79639,,47.69245228066022,9.191056596114416,47.69252342860271,9.191103661212098
24.01.2022,30.03.2022,Stockackerweg,,15,Pfeiferhoelzle,100.0,,,Viasis,,,Stockackerweg,79772,,47.67969202369579,9.183114971306376,47.67979901824603,9.183178768163666
01.02.2022,16.03.2022,Martin-Schleyer-Straße,,30,Dingelsdorf ,100.0,,,,,,Martin-Schleyer-Straße,78855,,47.714639461946064,9.172578079897724,47.71457999687829,9.172505077564
01.02.2022,21.04.2022,Fuerstenbergstraße,,114,Wollmatinger Str.,80.0,,Messung evtl nicht korrekt da Kurvenbereich,,,,Fürstenbergstraße,77910,,47.68162470333343,9.159701305026775,47.68175015917153,9.159759625038
16.02.2022,19.04.2022,Stifterstraße ,,8,Gabelsbergerstr. ,50.0,,,,,,Stifterstraße,79765,,47.6888719805078,9.149827353286891,47.68895748831429,9.14984618143894
16.02.2022,02.05.2022,Eichhornstraße,,10,Hoernle,50.0,,,,,,Eichhornstraße,77672,,47.66940095318784,9.189673146312746,47.6695673325974,9.189712928390668
02.03.2022,16.05.2022,Schulthaissstraße,,2,Grenzbachstrasse,50.0,,,18 Tage fehlen. Ruecksprache mit ElanC.,,,Schulthaißstraße,79576,,47.66135990443596,9.166213341551517,47.66131138868661,9.166401811580474
02.03.2022,02.05.2022,Reichenaustraße,,19,Europabruecke,50.0,,,Statistik erfasst Tag/Nacht nicht,,,Reichenaustraße,79240,,47.67158073486065,9.166857507244115,47.67169197419789,9.16686371835872
16.03.2022,09.05.2022,Martin-Schleyer-Straße,,5,Ortsausgang,50.0,,gedreht in FR. Ortsausgang  durch Ortsverwaltung nach Beschwerde von Herr Grabow,,,,Martin-Schleyer-Straße,78855,,47.7109825500816,9.172518013692969,47.71088907782055,9.172768362476075
16.03.2022,09.05.2022,Martin-Schleyer-Straße,,30,Ortskern,50.0,,,,,,Martin-Schleyer-Straße,78855,,47.714639461946064,9.172578079897724,47.71457999687829,9.172505077564
29.03.2022,02.05.2022,Feuersteinstraße,,7,Kindlebildstrasse,100.0,,,Bis hier alles gruene in OD,,,Feursteinstraße,77808,,47.69043327020264,9.13325907475379,47.690595869086216,9.133296771429633
30.03.2022,21.04.2022,Flurweg/Egg,,5,Siedlerweg,50.0,,,Viasis,,,Flurweg,77833,,47.69208274097206,9.19267402038159,47.69216450703387,9.192616744810527
19.04.2022,07.06.2022,Fritz-Arnold-Straße,,19,,50.0,,,Statistik erfasst Tag/Nacht nicht,,,Fritz-Arnold-Straße,77896,,47.67328206967338,9.14821009141823,47.67315746869196,9.148006844625057
19.04.2022,07.06.2022,Stifterstraße ,,8,Radolfzellerstr.,50.0,,,,,,Stifterstraße,79765,,47.6888719805078,9.149827353286891,47.68895748831429,9.14984618143894
21.04.2022,24.05.2022,Thomas-Sättele-Straße,,20,,40.0,,,Viasis,,,Thomas-Sättele-Straße,79831,,47.69108596415736,9.149263596322204,47.69146944889422,9.149343367259496
21.04.2022,11.07.2022,Markgrafenstraße,,34,Ebertplatz,30.0,,,22  Tage fehlen. Ruecksprache mit ElanC.,,,Markgrafenstraße,78834,,47.67194709136937,9.174499299983834,47.67183781540425,9.174463372333674
25.04.2022,04.07.2022,Mainaustraße,,22,Eichhornstrasse,50.0,,,11 Tage fehlen. Ruecksprache mit ElanC.,,,Mainaustraße,78799,,47.66867852739226,9.183193799364616,47.668901808620014,9.183117692451424
25.04.2022,27.06.2022,Sonnenbuehlstraße,,18,Mainaustr.,50.0,,,,,,Sonnenbühlstraße,79674,,47.67956586535831,9.187357482337616,47.67976060085632,9.187402182372178
02.05.2022,18.07.2022,Eichhornstraße,,10,Mainaustr.,50.0,,,17 Tage fehlen. Ruecksprache mit ElanC.,,,Eichhornstraße,77672,,47.66940095318784,9.189673146312746,47.6695673325974,9.189712928390668
02.05.2022,18.07.2022,Reutestraße,,54,Hardtstr.,50.0,,,Statistik durch leeren Akku geteilt,,,Reutestraße,79261,,47.681691551217845,9.15424591129636,47.68184310122441,9.154306309197883
02.05.2022,11.07.2022,Friedrichstraße,,35,Uni,50.0,,,11 Tage fehlen. Ruecksprache mit ElanC.,,,Friedrichstraße,77889,,47.677638267609815,9.1850415976335,47.677577314801454,9.185163827899
09.05.2022,11.07.2022,Byk-Gulden-Straße,,25,Riedstr.,50.0,,,,,,Byk-Gulden-Straße,77504,,47.68268592839218,9.139818002519718,47.68284719933883,9.13987080329523
09.05.2022,19.07.2022,Litzelstetter Str,,36,Radolfzellerstr.,100.0,,,,,,Litzelstetter Straße,78715,,47.69278824960261,9.150902974902449,47.69295984282746,9.150784796499796
16.05.2022,04.07.2022,Danzigerstraße,,7,Stockackerweg,50.0,,,,,,Danziger Straße,77560,,47.6819705101108,9.181756572727162,47.68182396393031,9.181779350982026
24.05.2022,25.07.2022,Mannheimerstraße,,9,Wendeplatte,40.0,,,Viasis,,,Mannheimer Straße,78249,,47.68551078676142,9.143650850992795,47.68558868236078,9.143674971670194
24.05.2022,19.07.2022,Untere Laube,,30,Rheinsteig,50.0,,,,,,Untere Laube,79898,,47.66252813552237,9.172334736662837,47.66248289257716,9.17243609321314
07.06.2022,01.08.2022,Lindauerstraße,,10,Jakobstr.,50.0,,,,,,Lindauer Straße,78708,,47.67888856819546,9.20796067773058,47.67887064605841,9.208119241629962
07.06.2022,25.07.2022,Kindlebildstraße,,46,Engelsteig,50.0,,,,,,Kindlebildstraße,78512,,47.69064661431405,9.136087830016848,47.69055689067488,9.136136387998922
07.06.2022,18.07.2022,Cherisy,,21,Pflegeheim,40.0,,,Viasis,,,Cherisy-Straße,77514,,47.68000762639361,9.160997272276829,47.680137604822,9.161040741292314
27.06.2022,15.08.2022,Jacob-Burckhardt-Straße,,16,Sonnenbuehlstr.,100.0,,,,,,Jacob-Burckhardt-Straße,78414,,47.68116304767282,9.187246351497803,47.68137632918513,9.18728652778268
04.07.2022,01.08.2022,Danzigerstraße,,7,Friedrichstr.,50.0,,,,,,Danziger Straße,77560,,47.6819705101108,9.181756572727162,47.68182396393031,9.181779350982026
04.07.2022,29.08.2022,Mainaustraße,,22,Sternenplatz,50.0,,,,,,Mainaustraße,78799,,47.66867852739226,9.183193799364616,47.668901808620014,9.183117692451424
11.07.2022,04.01.2022,Markgrafenstraße,,34,Schneckenburgstr.,50.0,,,ca.30 Tage fehlen.Ruecksprache mit ElanC.,,,Markgrafenstraße,78834,,47.67194709136937,9.174499299983834,47.67183781540425,9.174463372333674
11.07.2022,29.08.2022,Wollmatingerstraße,,43,Zaehringerplatz,100.0,,,,,,Wollmatinger Straße,80038,,47.67663219705732,9.176849305740916,47.67680919657132,9.17691629092158
11.07.2022,29.08.2022,Byk-Gulden-Straße,,25,Stadauswaerts,100.0,,,,,,Byk-Gulden-Straße,77504,,47.68268592839218,9.139818002519718,47.68284719933883,9.13987080329523
18.07.2022,05.09.2022,MainaustraßeEgg,,205,Mainaustr.,50.0,,,,,,Mainaustraße,78799,,47.69301441188191,9.192804056512657,47.69317945841006,9.192920595358745
18.07.2022,05.09.2022,Reutestraße,,54,Cherisy,50.0,,,,,,Reutestraße,79261,,47.681691551217845,9.15424591129636,47.68184310122441,9.154306309197883
18.07.2022,29.08.2022,Blumenstraße,,15,Rathaus,50.0,,,Viasis ,,,Blumenstraße,77350,,47.71547012806074,9.174538699471649,47.715539237611424,9.174726868526268
19.07.2022,10.10.2022,Untere Laube,,2,Rheinsteig,50.0,,Ohne Solarpanel installiert!!!,,,,Untere Laube,79898,,47.6655300364462,9.173712690966072,47.66544618762144,9.173822876921683
19.07.2022,05.09.2022,Schwaketenstraße,,66,Universiaet,50.0,,,,,,Schwaketenstraße,79583,,47.68843746591687,9.155321054202057,47.68876121909437,9.155400770184707
25.07.2022,06.09.2022,Mannheimerstr-,,9,Brandenburgerstr.,40.0,,,Viasis ,,,Mannheimer Straße,78249,,47.68551078676142,9.143650850992795,47.68558868236078,9.143674971670194
25.07.2022,29.08.2022,Kindlebidstraße,,49,Feursteinstr.,100.0,,,,,,Kindlebildstraße,78512,,47.69133158954558,9.138658130519342,47.69154302601434,9.13863818540892
01.08.2022,05.09.2022,Lindauerstraße,,30,Faehre,50.0,,,,,,Lindauer Straße,78708,,47.67672035795934,9.207830693108775,47.67674865138589,9.208149348868568
15.08.2022,06.09.2022,Jacob-Burckhardt-Straße,,23,Friedrichstr.,50.0,,,,,,Jacob-Burckhardt-Straße,78414,,47.68141317399362,9.187637767557288,47.68131368105249,9.18761901741526
29.08.2022,26.09.2022,Kapitän-Romer-Straße,,22,Langenrainerstr.,50.0,,,,,,Kapitän-Romer-Straße,78473,,47.73680189263064,9.11655833881157,47.736773494734514,9.11648761317061
29.08.2022,26.09.2022,Wollmatingerstraße,,43,Friedhof,50.0,,,,,,Wollmatinger Straße,80038,,47.67663219705732,9.176849305740916,47.67680919657132,9.17691629092158
29.08.2022,26.09.2022,Fuerstenbergstraße,,32,Radolfzellerstr.,50.0,,,,,,Fürstenbergstraße,77910,,47.6864311628428,9.151416442745385,47.68655327804412,9.151479920914356
29.08.2022,25.10.2022,Radolfzellerstraße,,65,Engelsteig,50.0,,,,,,Radolfzeller Straße,79184,,47.69350977989437,9.143605650058308,47.693624947446025,9.143645220870615
29.08.2022,04.10.2022,Blumenstraße,,15,Holdersteig ,50.0,,,Viasis,,,Blumenstraße,77350,,47.71547012806074,9.174538699471649,47.715539237611424,9.174726868526268
05.09.2022,28.11.2022,Schwaketenstraße,,3,Radolfzellerstr.,50.0,,,,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
05.09.2022,26.09.2022,Mainaustraße,,130,Faehre,50.0,,,,,,Mainaustraße,78799,,47.67974799611485,9.201677849778934,47.67985683522508,9.201479916167488
05.09.2022,28.11.2022,Breslauer Straße,,16,Riedstr.,50.0,,,,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
05.09.2022,26.09.2022,Mainaustraße,,50,Faehre,50.0,,,,,,Mainaustraße,78799,,47.67135825029529,9.190689456634525,47.67157142770689,9.190589252656332
06.09.2022,14.11.2022,Steinstraße,,20,Zaehringerplatz,50.0,,Ohne Solarpanel ,,,,Steinstraße,79744,,47.67513457820548,9.176584062544276,47.67490847775374,9.176495076171904
06.09.2022,14.11.2022,Sonnentauweg,,23,Buhlenweg,50.0,,,Viasis,,,Sonnentauweg,79688,,47.68297712823717,9.167538337337058,47.68308489379431,9.167577318269368
26.09.2022,10.10.2022,Kapitän-Romer-Straße,,22,Ortsmitte,50.0,,,,,,Kapitän-Romer-Straße,78473,,47.73680189263064,9.11655833881157,47.736773494734514,9.11648761317061
26.09.2022,10.10.2022,Wollmatingerstraße,,43,Zaehringerplatz,50.0,,,,,,Wollmatinger Straße,80038,,47.67663219705732,9.176849305740916,47.67680919657132,9.17691629092158
26.09.2022,10.10.2022,Fuerstenbergstraße,,32,Hardtstrasse,50.0,,,,,,Fürstenbergstraße,77910,,47.6864311628428,9.151416442745385,47.68655327804412,9.151479920914356
26.09.2022,10.10.2022,Mainaustraße,,130,Stadteinwaerts,50.0,,,,,,Mainaustraße,78799,,47.67974799611485,9.201677849778934,47.67985683522508,9.201479916167488
26.09.2022,10.10.2022,Mainaustraße,,50,Stadteinwaerts,50.0,,,,,,Mainaustraße,78799,,47.67135825029529,9.190689456634525,47.67157142770689,9.190589252656332
04.10.2022,12.12.2022,Kindlebildstraße,,54,Reichenau,50.0,,,,,,Kindlebildstraße,78512,,47.68984544999728,9.13441786869095,47.68971567358228,9.134479935672038
04.10.2022,14.11.2022,Otto-Raggenbass-Straße,,5,Zoll,30.0,,,Viasis,,,Otto-Raggenbass-Straße,79107,,47.6562179642257,9.174698054141302,47.65635623843271,9.17466256733566
04.10.2022,05.12.2022,Taborweg,,13,Pfeiferhoelzle,50.0,,,,,,Taborweg,79793,,47.68016274341405,9.169496540961882,47.68007413107302,9.169625606158132
10.10.2022,12.12.2022,Friedrichstraße,,73,Uni,50.0,,,,,,Friedrichstraße,77889,,47.67983693496297,9.184152972619543,47.67993896433411,9.184314131315777
10.10.2022,13.12.2022,Buhlenweg,,1,Fuerstenbergstr.,50.0,,,,,,Buhlenweg,77490,,47.68336183851027,9.158177642327184,47.683304191573065,9.158223444557096
10.10.2022,19.12.2022,Wollmatingerstraße,,165,Fuerstenbergstr.,50.0,,,,,,Wollmatinger Straße,80038,,47.67992761510838,9.165440391943608,47.68005143031872,9.165466639832864
10.10.2022,14.12.2022,Allmannsdorfer Straße,,28,Mainaustr.,50.0,,,,,,Allmannsdorfer Straße,77014,,47.6735630457767,9.186697080252603,47.67369194517152,9.18668449750901
10.10.2022,19.12.2022,Rheingutstraße,,27,Bruecke,50.0,,,,,,Rheingutstraße,79275,,47.66704661902126,9.167652389030565,47.66714296905358,9.16766339086472
25.10.2022,21.11.2022,Zeller Straße (Dettingen),,15,Langenrainer Strasse,100.0,,,,,,Zellerstraße,80062,,47.737877000728766,9.11010477775562,47.738001459530686,9.110071406535988
14.11.2022,16.01.2023,Steinstraße,,20,Schneckenburgstr.,50.0,,,,,,Steinstraße,79744,,47.67513457820548,9.176584062544276,47.67490847775374,9.176495076171904
14.11.2022,16.01.2023,Karlsruherstraße,,23,Hardstr.,50.0,,,Viasis,,,Karlsruher Straße,78484,,47.68437948351662,9.149722815468492,47.68427730794821,9.14970142488376
14.11.2022,13.12.2022,Sonnentauweg,,52,Taborweg,30.0,,,Viasis,,,Sonnentauweg,79688,,47.684842652007376,9.16553174996917,47.68468540726237,9.1654481159717
21.11.2022,23.01.2023,Torkelbergstraße,,11,Alte Torkelbergstr.,50.0,,,,,,Torkelbergstraße,79849,,47.711148839243165,9.171368596623068,47.7112613239986,9.17137985707782
28.11.2022,23.01.2023,Schwaketenstraße,,3,Uni,50.0,,,,,,Schwaketenstraße,79583,,47.6901017945815,9.148085832447688,47.68999110827243,9.148079333161943
28.11.2022,23.01.2023,Breslauer Straße,,16,Hardtstrasse,50.0,,,,,,Breslauer Straße,77399,,47.68493918791009,9.150853819609075,47.6851804928014,9.150923560907144
12.12.2022,30.01.2023,Benedikt-Bauer-Straße,,17,Schwaketenstr.,50.0,,,,,,Benedikt-Bauer-Straße,77254,,47.69092492089187,9.150079768525558,47.69100400190642,9.150241658279262
12.12.2022,30.01.2023,Kindlebilstraße,,52,Wollmatingen,50.0,,,,,,Kindlebildstraße,78512,,47.69005401182977,9.13449836067146,47.68979294457844,9.134638465838226
13.12.2022,30.01.2023,Buhlenweg,,13,Schwaketenstr.,50.0,,,,,,Buhlenweg,77490,,47.68434154202348,9.15925802791954,47.6842468043315,9.15934790726834
13.12.2022,06.02.2023,Zeppelinstraße,,6,Mainaustr.,50.0,,,,,,Zeppelinstraße,80066,,47.671424527436336,9.191952155132732,47.67153876031272,9.191978443582816
14.12.2022,06.02.2023,Allmannsdorfer Straße,,28,Zaehringerplatz,50.0,,,,,,Allmannsdorfer Straße,77014,,47.6735630457767,9.186697080252603,47.67369194517152,9.18668449750901
14.12.2022,06.02.2023,Buecklestraße,,84,Schneckenburgstr.,50.0,,,,,,Bücklestraße,77476,,47.6780871867057,9.166214900071012,47.6779829815458,9.16618275542846
19.12.2022,13.02.2023,Am Pfeiferhölzle,,18,Stockackerweg,50.0,,,,,,Am Pfeiferhölzle,77101,,47.68251298641451,9.173737351857357,47.6826545732775,9.17376542155614
19.12.2022,13.02.2023,Mainaustraße,,148,Dreherkurve,50.0,,,,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711656
19.12.2022,13.02.2023,Rheingutstraße,,33,HTWG,50.0,,,,,,Rheingutstraße,79275,,47.66722809889295,9.165922009692714,47.667346131454096,9.165935155389215
16.01.2023,13.03.2023,Bodanstraße,,21,Lago,50.0,,,,,,Bodanstraße,77364,,47.65809851099117,9.173021612708942,47.65823229212101,9.173037902581092
23.01.2023,13.03.2023,Torkelbergstraße,,7,Martin-Schleyer-Str.,50.0,,,,,,Torkelbergstraße,79849,,47.711115588590665,9.171702572087153,47.711227892695405,9.171713814457595
23.01.2023,20.03.2023,Schwaketenstraße,,110,Uni,50.0,,,,,,Schwaketenstraße,79583,,47.68760694400213,9.163948778038977,47.6878358,9.1616193
23.01.2023,20.03.2023,Riedstraße,,19,Fuerstenberg,50.0,,,,,,Riedstraße,79303,,47.68516439209556,9.147957531017855,47.68524421986284,9.147820761633312
30.01.2023,20.03.2023,Benedikt-Bauer-Straße,,17,Litzelstetterstr.,50.0,,,,,,Benedikt-Bauer-Straße,77254,,47.69092492089187,9.150079768525558,47.69100400190642,9.150241658279262
30.01.2023,03.04.2023,Sonnenbuehlstraße,,32,Mainaustr.,50.0,,,,,,Sonnenbühlstraße,79674,,47.678566269084186,9.189574330006309,47.67920099008786,9.189728787328317
30.01.2023,03.04.2023,Jakobstraße,,27,Staaderstr.,50.0,,,,,,Jakobstraße,78428,,47.67782165206866,9.20509401251786,47.677671468063146,9.20493999256364
06.02.2023,07.03.2023,Zeppelinstraße,,6,Brandestrasse,50.0,,,,,,Zeppelinstraße,80066,,47.671424527436336,9.191952155132732,47.67153876031272,9.191978443582816
06.02.2023,27.03.2023,Hermann-von-Vicari-Straße,,11,Jakobstr.,50.0,,,,,,Hermann-von-Vicari-Straße,78225,,47.67407525365957,9.199701128447291,47.67395234386456,9.199621670434988
06.02.2023,27.03.2023,Buecklestraße,,70,Elberfeld,50.0,,,,,,Bücklestraße,77476,,47.67700703536224,9.16988573497065,47.6768788292932,9.169847774986634
13.02.2023,03.04.2023,Jakobstraße,,81,Hoernle,50.0,,,,,,Jakobstraße,78428,,47.67203704850817,9.20897212813301,47.6718363,9.2088266
13.02.2023,27.04.2023,Gottlieber Straße,,1,Paradies,50.0,,,,,,Gottlieber Straße,78015,,47.66161666653368,9.17016423925495,47.66173871634594,9.170198606060149
13.02.2023,03.04.2023,Mainaustraße,,148,Faehre,50.0,,,,,,Mainaustraße,78799,,47.68141138014823,9.202455576241434,47.68150224402573,9.202231565711656
07.03.2023,08.04.2023,Eichbuehlstraße,,10,Ortsausgang,50.0,,,,,,Eichbühlstraße,77658,,47.68940343225391,9.14345245712345,47.68919849011761,9.143435860850293
07.03.2023,17.04.2023,W.-Graf-Platz,,4,Faehre,30.0,,,,,,William-Graf-Platz,80003,,47.68140443869696,9.211247401807874,47.681525530440176,9.211267348112532
13.03.2023,15.05.2023,Am Briel,,40,Schneckenburgstr.,50.0,,,,,,Am Briel,77077,,47.67612330252856,9.176722488213624,47.67599187587985,9.176721072486709
13.03.2023,15.05.2023,Bodanstraße,,21,Doebele,50.0,,,,,,Bodanstraße,77364,,47.65809851099117,9.173021612708942,47.65823229212101,9.173037902581092
20.03.2023,15.05.2023,Schwaketenstraße,,110,Buhlenweg,50.0,,,,,,Schwaketenstraße,79583,,47.68760694400213,9.163948778038977,47.6878358,9.1616193
20.03.2023,15.05.2023,Riedstraße,,19,Max-Stromeyer-Str.,50.0,,,,,,Riedstraße,79303,,47.68516439209556,9.147957531017855,47.68524421986284,9.147820761633312
20.03.2023,15.05.2023,Hoheneggstraße,,31,EGG,50.0,,,,,,Hoheneggstraße,78274,,47.683698291777816,9.2076593413227,47.6825371,9.2076063
27.03.2023,30.05.2023,Friedrichstraße,,23,Zaehringerplatz,50.0,,,,,,Friedrichstraße,77889,,47.67600762740819,9.183970303752735,47.67589188155626,9.184156041327924
27.03.2023,24.05.2023,Litzelstetterstraße,,29,Benedikt-Bauer-Str.,50.0,,,,,,Litzelstetter Straße,78715,,47.69253804741325,9.148192679293638,47.69246111698547,9.148192750890129
03.04.2023,30.05.2023,Sonnenbuehlstraße,,38,Friedrichstr.,50.0,,,,,,Sonnenbühlstraße,79674,,47.67874561484672,9.190972043780608,47.6788978414486,9.191007695513363
03.04.2023,30.05.2023,Jakobstraße,,81,Lindauerstr.,50.0,,,,,,Jakobstraße,78428,,47.67203704850817,9.20897212813301,47.6718363,9.2088266
03.04.2023,30.05.2023,Jakobstraße,,27,H.-v.-Vicari-Str.,50.0,,,,,,Jakobstraße,78428,,47.67782165206866,9.20509401251786,47.677671468063146,9.20493999256364
03.04.2023,05.06.2023,Radolfzellerstraße,,38,Riedstr.,50.0,,,,,,Radolfzeller Straße,79184,,47.69167357410936,9.14613995954122,47.69169058587258,9.14601321255812
17.04.2023,05.06.2023,Gustav-Schwab-Straße,,9,Bahnhof,50.0,,,,,,Gustav-Schwab-Straße,78078,,47.674754872778,9.172384581939674,47.67481874165117,9.172405244520428
27.04.2023,03.07.2023,Gottlieber Straße,,5,Laube,50.0,,,,,,Gottlieber Straße,78015,,47.66171436202408,9.1698132067463,47.66183484071483,9.16984565249272
08.04.2023,03.07.2023,Flurweg/Egg,,5,Wolfsried,50.0,,,,,,Flurweg,77833,,47.69208274097206,9.19267402038159,47.69216450703387,9.192616744810527
15.05.2023,17.07.2023,Obere Laube,,40,Bodanstr./Doebele,50.0,,,,,,Obere Laube,79065,,47.66049462262055,9.171211022580168,47.6604350744311,9.171301772236676
15.05.2023,17.07.2023,Fuerrstenbergstraße,,54,Radolfzellerstr.,50.0,,20.09.20223,,,,Fürstenbergstraße,77910,,47.6850035853545,9.154524701251724,47.68508936107714,9.154578722378144
15.05.2023,17.07.2023,Hermann-von-Vicari-Straße,,25,Jakobstr.,50.0,,,,,,Hermann-von-Vicari-Straße,78225,,47.67380787449985,9.20281169994511,47.67372099752365,9.20292604125572
15.05.2023,26.06.2023,Hoheneggstraße,,31,Schiffstr.,50.0,,,,,,Hoheneggstraße,78274,,47.683698291777816,9.2076593413227,47.6825371,9.2076063
15.05.2023,26.06.2023,Am Briel,,60,Bismarksteig,50.0,,,,,,Am Briel,77077,,47.67692114790172,9.17435734389992,47.67675936528129,9.174272793720304
15.05.2023,10.07.2023,Rheinsteig ,,4,Untere Laube,50.0,,,,,,Rheinsteig,79282,,47.6660743807698,9.177195788915316,47.66599238199294,9.177147266838382
30.05.2023,24.07.2023,Friedrichstraße,,14,Stockackerweg,50.0,,,,,,Friedrichstraße,77889,,47.67612720767334,9.184530134581363,47.67622931048607,9.18436631817365
30.05.2023,03.07.2023,Line-Eid-Straße,,6,Stromeyersdorg,50.0,,,,,,Line-Eid-Straße,78709,,47.6730202280539,9.15555758693914,47.67285210125164,9.15550088687688
30.05.2023,24.07.2023,Stifterstraße ,,16,Radolfzellerstr.,50.0,,,,,,Stifterstraße,79765,,47.68794586521907,9.153693086954377,47.68808192129527,9.153727691462048
30.05.2023,24.07.2023,Eichhornstraße,,56,Hoernle,50.0,,,,,,Eichhornstraße,77672,,47.666476176354,9.198647166322798,47.667047096365366,9.198814681775184
