Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
26.09.2022;10.10.2022;0715;;Wollmatingerstr.;50;43;Zaehringerplatz;50;;;;;;
26.09.2022;10.10.2022;5047;;Fuerstenbergstr.;50;32;Hardtstrasse;50;;;;;;
26.09.2022;10.10.2022;8710;;Mainaustrasse;50;130;Stadteinwaerts;50;;;;;;
26.09.2022;10.10.2022;8815;;Mainaustrasse;50;50;Stadteinwaerts;50;;;;;;
04.10.2022;12.12.2022;5797;;Kindlebildstr.;50;Krz.Feursteinstr.;Reichenau;50;;;;;;
04.10.2022;14.11.2022;Viasis;;Otto-Raggenbass-Str.;10;5;Zoll;30;;;Viasis;;;
04.10.2022;05.12.2022;4621;;Taborweg;30;13;Pfeiferhoelzle;50;;;;;;
10.10.2022;12.12.2022;9018;;Friedrichstr.;50;73;Uni;50;;;;;;
10.10.2022;13.12.2022;0715;;Buhlenweg;30;1;Fuerstenbergstr.;50;;;;;;
10.10.2022;14.12.2022;6047;;Max-Stromeyer-Str.;30;Mitte 30er Bereich;Oberlohn;50;;;csv-Datei erstellt;;;
10.10.2022;19.12.2022;8710;;Wollmatingerstr.;50;165;Fuerstenbergstr.;50;;;;;;
10.10.2022;14.12.2022;8815;;Allmannsdorfer Str.;50;28;Mainaustr.;50;;;;;;
10.10.2022;19.12.2022;0052;;Rheingutstr.;30;27;Bruecke;50;;;;;;
25.10.2022;21.11.2022;1415;;Zeller Strasse (Dettingen);30;15;Langenrainer Strasse;100;;;;;;
14.11.2022;16.01.2023;4354;;Steinstrasse;30;20;Schneckenburgstr.;50;;;;;;
14.11.2022;16.01.2023;Viasis;;Karlsruherstr.;30;Spielplatz;Hardstr.;50;;;Viasis;;;
14.11.2022;13.12.2022;Viasis;;Sonnentauweg;30;52;Taborweg;30;;;Viasis;;;
21.11.2022;23.01.2023;1415;;Torkelbergstr.;30;11;Alte Torkelbergstr.;50;;;;;;
28.11.2022;23.01.2023;9256;;Schwaketenstr.;"Tags 30 ; Abends 50";Grundschule;Uni;50;;;;;;
28.11.2022;23.01.2023;8100;;Breslauer Str.;30;Schule;Hardtstrasse;50;;;;;;
12.12.2022;30.01.2023;9018;;Benedikt-Bauer-Str.;30;17;Schwaketenstr.;50;;;;;;
12.12.2022;30.01.2023;5797;;Kindlebilstr.;50;Krz.Feursteinstr.;Wollmatingen;50;;;;;;
13.12.2022;30.01.2023;0715;;Buhlenweg;30;13;Schwaketenstr.;50;;;;;;
13.12.2022;06.02.2023;Viasis;;Zeppelinstr.;30;6;Mainaustr.;50;;;;;;
14.12.2022;06.02.2023;8815;;Allmannsdorfer Str.;50;28;Zaehringerplatz;50;;;;;;
14.12.2022;06.02.2023;4621;;Buecklestr.;30;84;Schneckenburgstr.;50;;;;;;
19.12.2022;13.02.2023;8710;;Am Pfeiferhoelzle;30;18;Stockackerweg;50;;;;;;
19.12.2022;13.02.2023;6047;;Mainaustr.;30;148;Dreherkurve;50;;;;;;
19.12.2022;13.02.2023;0052;;Rheingutstr.;30;33;HTWG;50;;;;;;
16.01.2023;13.03.2023;4354;;Bodanstrasse;30;21;Lago;50;;;;;;
16.01.2023;07.03.2023;Viasis;;Gustav-Schwab-Str.;Verkehrsberuhigt;Schule;Moltkestr.;30;;;;;;
23.01.2023;13.03.2023;1415;;Torkelbergstr.;30;7;Martin-Schleyer-Str.;50;;;;;;
23.01.2023;20.03.2023;9256;;Schwaketenstr.;"Tags 30 ; Abends 50";GSS;Uni;50;;;;;;
23.01.2023;20.03.2023;8100;;Riedstr.;50;19-21;Fuerstenberg;50;;;;;;
30.01.2023;20.03.2023;9018;;Benedikt-Bauer-Str.;30;17;Litzelstetterstr.;50;;;;;;
30.01.2023;03.04.2023;5797;;Sonnenbuehlstr.;30;Schule;Mainaustr.;50;;;;;;
30.01.2023;03.04.2023;0715;;Jakobstrasse;30;27b;Staaderstr.;50;;;;;;
06.02.2023;07.03.2023;Viasis;;Zeppelinstr.;30;6;Brandestrasse;50;;;;;;
06.02.2023;27.03.2023;8815;;Hermann-von-Vicari-Strasse;30;KiGa;Jakobstr.;50;;;;;;
06.02.2023;27.03.2023;4621;;Buecklestr.;30;70;Elberfeld;50;;;;;;
13.02.2023;03.04.2023;8710;;Jakobstr.;30;ca.100 M.v.Seehalde;Hoernle;50;;;;;;
13.02.2023;27.04.2023;0052;;Gottlieber Str.;30;Ecke Schottenstr.;Paradies;50;;;;;;
13.02.2023;03.04.2023;6047;;Mainaustr.;30;148;Faehre;50;;;;;;
07.03.2023;08.04.2023;Viasis;;Eichbuehlstr.;30;10 Hoehe KIGA;Ortsausgang;50;;;;;;
07.03.2023;17.04.2023;Viasis;;W.-Graf-Platz;10;Platz;Faehre;30;;;;;;
13.03.2023;15.05.2023;1415;;Am Briel;30;40;Schneckenburgstr.;50;;;;;;
13.03.2023;15.05.-2023;4354;;Bodanstr.;30;21;Doebele;50;;;;;;
20.03.2023;15.05.2023;9256;;Schwaketenstr.;"Tags 30 ; Abends 50";GSS;Buhlenweg;50;;;;;;
20.03.2023;15.05.2023;8100;;Riedstr.;50;19-21;Max-Stromeyer-Str.;50;;;;;;
20.03.2023;15.05.2023;9018;;Hoheneggstr.;30;31;EGG;50;;;;;;
27.03.2023;30.05.2023;8815;;Friedrichstr.;"Tags 30 ; Abends 50";MHD;Zaehringerplatz;50;;;;;;
27.03.2023;24.05.2023;4621;;Litzelstetterstr.;30;29;Benedikt-Bauer-Str.;50;;;;;;
03.04.2023;30.05.2023;5797;;Sonnenbuehlstr.;30;38/ Hoehe Schule;Friedrichstr.;50;;;;;;
03.04.2023;30.05.2023;8710;;Jakobstr.;30;ca.100 M.v.Seehalde;Lindauerstr.;50;;;;;;
03.04.2023;30.05.2023;0715;;Jakobstr.;30;27b;H.-v.-Vicari-Str.;50;;;;;;
03.04.2023;05.06.2023;6047;;Radolfzellerstr.;30;38;Riedstr.;50;;;;;;
17.04.2023;05.06.2023;Viasis;;Gustav-Schwab-Str.;Verkehrsberuhigt;9;Bahnhof;50;;;;;;
27.04.2023;03.07.2023;0052;;Gottlieber Str.;30;5;Laube;50;;;;;;
08.04.2023;03.07.2023;Viasis;;Flurweg/Egg;Verkehrsberuhigt;5a;Wolfsried;50;;;;;;
15.05.2023;17.07.2023;4354;;Obere Laube;30;40;Bodanstr./Doebele;50;;;;;;
15.05.2023;17.07.2023;8100;;Fuerrstenbergstr.;50;54;Radolfzellerstr.;50;;20.09.20223;;;;
15.05.2023;17.07.2023;9256;;Hermann-von-Vicari-Str.;30;25;Jakobstr.;50;;;;;;
15.05.2023;26.06.2023;9018;;Hoheneggstr.;30;31;Schiffstr.;50;;;;;;
15.05.2023;26.06.2023;1415;;Am Briel;30;60;Bismarksteig;50;;;;;;
15.05.2023;10.07.2023;Viasis;;Rheinsteig ;30;GG-Zoffingen;Untere Laube;50;;;;;;
24.05.2023;05.06.2023;4621;;Brueckenkopf;50;;Bahnhof;;Keine Statistik, dient nur zur Anzeige;;;;;
30.05.2023;24.07.2023;8815;;Friedrichstr.;"Tags 30 ; Abends 50";GG.Haus 14;Stockackerweg;50;;;;;;
30.05.2023;03.07.2023;5797;;Line-Eid-Str.;50;Bushaltestelle;Stromeyersdorg;50;;;;;;
30.05.2023;24.07.2023;8710;;Stifterstr. ;30;16;Radolfzellerstr.;50;;;;;;
30.05.2023;24.07.2023;0715;;Eichhornstr.;30;Rosenau;Hoernle;50;;;;;;
05.06.2023;08.08.2023;6047;;Radolfzellerstr.;30;38;Ortsausgang;50;;;;;;
05.06.2023;;4621;;Konzilstrasse;50;Bushaltestelle;Bahnhof;;Keine Statistik, dient nur zur Anzeige;;;;;
05.06.2023;26.06.2023;Viasis;;Gustav-Schwab-Str.;Verkehrsberuhigt;9;Schneckenburg-Str.;50;;;;;;
26.06.2023;08.08.2023;Viasis;;Am Pfeiferhoelzle;30;2;Universitaetsstr.;50;;;;;;
26.06.2023;19.07.2023;9018;;Bagnatosteig;30;20a;Dingelsdorf;50;;;;;;
26.06.2023;10.08.2023;1415;;Reichenaustr.;"Tags 30 ; Abends 50";3e;Spanierstrasse;50;;;;;;
03.07.2023;28.08.2023;0052;;Gottlieber Str.;30;15;Schulthaissstr.;50;;;29.08.2023;;;
03.07.2023;22.08.2023;5797;;Kamorstr.;30;2a;Eichhornstrasse;30;;;28.08.2023;;;
03.07.2023;28.08.2023;Viasis;;Bachgasse/Egg;Verkehrsberuhigt;gg. 10;Hafen;30;;;;;;
10.07.2023;22.08.2023;Viasis;;Alter Graben;Verkehrsberuhigt;7;Schweiz;50;;;;;;
17.07.2023;10.08.2023;4354;;Obere Laube;30;73;Untere Laube;50;;;20.09.2023;;;
17.07.2023;05.09.2023;8100;;Fuerstenbergstr.;50;54;Wollmatingerstr.;50;;;05.09.2023;;;
17.07.2023;28.08.2023;9256;;Hermann-von-Vicari-Str.;30;25;Mainaustr.;50;;;29.08.2023;;;
19.07.2023;15.08.2023;9018;;Bagnatosteig;30;20a;Dingelsdorf;50;;19.07.23 Daten gezogen;20.09.2023;;;
24.07.2023;15.08.2023;8815;;Zellerstr.;30;15;Langenrainerstr.;50;;;20.09.2023;;;
24.07.2023;05.09.2023;0715;;Eichhornstr.;30;Rosenau;Mainaustr.;50;;;05.09.2023;;;
24.07.2023;05.09.2023;8710;;Stifterstr. ;30;16;Gabelsbergerstr.;50;;;05.09.2023;;;
08.08.2023;25.09.2023;6047;;Am Pfeiferhoelzle;30;18;Stockackerweg;50;;;21.11.2023;;;
08.08.2023;25.09.2023;Viasis;;Hofhalde;Verkehrsberuhigt;4;Wessenbergstr.;30;;;17.11.2023;;;
10.08.2023;23.10.2023;4354;;Verbindungsstrasse Grenzbachstr/Laube;30;Mittig;Bodanstr.;50;Keine Statistik, dient nur zur Anzeige;;;;;
10.08.2023;18.09.2023;1415;;Obere Laube;30;40;Doebele;50;Keine Statistik, dient nur zur Anzeige;;;;;
15.08.2023;22.08.2023;9018;;Oberdorfstrasse;30;24;Litzestetten;50;;;20.09.2023;;;
15.08.2023;11.09.2023;8815;;Zellerstr.;30;15;Ortsausgang;30;;;20.09.2023;;;
22.08.2023;25.09.2023;9018;;Heinrich-v.-Tettingen-Str.;50;2a;Hafen;50;;;21.11.2023;;;
22.08.2023;11.09.2023;5797;;Kamorstr.;30;2a;Casino;30;;;20.09.2023;;;
22.08.2023;25.09.2023;Viasis;;Schulthaissstr.;30;10;Grenzbachstrasse;50;;;17.11.2023;;;
28.08.2023;09*.10.2023;0052;;Gottlieber Str.;30;15;Lutherplatz;50;;;21.11.2023;;;
28.08.2023;25.09.2023;Viasis;;Hermann-Hesse-Weg;30;10;Therme;50;;;17.11.2023;;;
28.08.2023;23.10.2023;9256;;Hermann-von-Vicari-Str.;30;KIGA;Jakobstr.;50;;;18.01.2024;;;
05.09.2023;23.10.2023;8100;;Radolfzellerstr.;30;65;Engelsteig;50;;;19.01.2024;;;
05.09.2023;07.11.2023;8710;;Breslauerstr.;30;Schule;Riedstr.;50;;;08.11.2023;;;
05.09.2023;07.11.2023;0715;;Mainaustr.;30;148;Faehre;50;;;08.11.2023;;;
11.09.2023;27.11.2023;8815;;Fritz-Arnold-Str.;30/50;gg 14/Schule;TBK;30;"13.11.;";;;;;
11.09.2023;07.11.2023;5797;;Schwaketenstr.;30/50;Grundschule;Universitaet;50;;;08.11.2023;;;
18.09.2023;07.11.2023;1415;;Sonnenbuehlstr.;30;22;Mainaustr.;50;;;08.11.2023;;;
25.09.2023;27.11.2023;6047;;Am Pfeiferhoelzle;30;18;Taborweg;50;;;;;;
25.09.2023;23.10.2023;Viasis;;Hofhalde;Verkehrsberuhigt;4;Konzilstrasse;30;;;17.11.2023;;;
25.09.2023;20.11.2023;9018;;Heinrich-v.-Tettingen-Str.;50;2a;Ortsausgang;50;;;21.11.2023;;;
25.09.2023;13.11.2023;Viasis;;Schulthaissstr.;30;2c;Gottlieberstr.;50;;;17.11.2023;;;
25.09.2023;07.11.2023;Viasis;;Mannheimerstr.;Verkehrsberuhigt;Mittig;Brandenburgerstr.;30;;;17.11.2023;;;
09.10.2023;23.10.2023;0052;;Rheinsteig ;30;gg.Klostergasse;Untere Laube;50;ohne Solarpanel;durch Vandalismus  am 21./22.10. zerstoert;;;;
23.10.2023;12.01.2024;9256;;Eichhornstr.;50;36;Hoernle;50;Daten gezogen;;;;;
23.10.2023;13.11.2023;Viasis;;Thomas-Saettele-Str.;10;5;Bachbohlweg;30;;;17.11.2023;;;
23.10.2023;02.09.2024;4354;;Verbindungsstrasse Grenzbachstr/Laube;30;Mittelinsel;Obere Laube;30;;;;;;
23.10.2023;08.01.2024;8100;;Alter Bannweg;30;11;Taborweg;50;;;;;;
07.11.2023;18.01.2021;8710;;Breslauerstr.;30;Schule;Hardtstr.;50;Daten gezogen;;;;;
07.11.2023;11.01.2024;0715;;Mainaustr.;30;148;Stadteinwaerts;50;Daten gezogen;;21.02.2023;;;
07.11.2023;11.01.2024;5797;;Schwaketenstr.;30/50;Grundschule;Radolfzellerstr.;50;Daten gezogen;Geraet misst in den 50 km/h-Bereich rein, Statistik deswegen nur bedingt aussagekraeftig;23.02.2024;;;
07.11.2023;08.01.2024;1415;;Untere Laube;30;Katzgasse;Rheinsteig;50;;;21.02.2023;;;
07.11.2023;08.01.2024;Viasis;;Mannheimerstr.;10;30/38;Muehlenweg;50;;;Keine Rohdaten!!!;;;
13.11.2023;08.01.2024;Viasis;;Sonnenbuehlstr.;30;68;Friedrichstr.;40;Statistik 13.11.-20.12. erstellt;;10.01.2024;;;
13.11.2023;16.01.2024;Viasis;;Thomas-Saettele-Str.;10;5;Benedikt-Bauer-Str.;40;;;08.10.2024;;;
27.11.2023;11.01.2024;8815;;Schwaketenstr.;30/50;GSS;Universitaet;50;Daten gezogen;;;;;
27.11.2023;30.01.2024;6047;;Bruder-Klaus-Str.;30;10;von-Emmich-Str;150;;;;;;
08.01.2024;11.03.2024;8100;;Alter Bannweg;30;11;Friedhof;50;;;;;;
08.01.2024;19.03.2024;Viasis;;Clara-Schumann-Str.;10;2;Lorettowald;30;27.02.;;08.10.2024;;;
08.01.2024;19.03.2024;1415;;Bodanstr.;30;21;Lago;50;Ab 30.01.2024 HO NARRO!;;Keine Rohdaten!!!;;;
08.01.2024;19.03.2024;Viasis;;Rheinsteig ;30;gg.Klostergasse;Untere Laube;50;27.02.;;08.10.2024;;;
11.01.2024;30.01.2024;0715;;Mainaustr.;30;147;Stadteinwaerts;50;;;21.02.2024;;;
11.01.2024;13.02.2024;5797;;Schwaketenstr.;30/50;Grundschule;Radolfzellerstr.;50;;;26.02.2024;;;
11.01.2024;13.02.2024;8815;;Schwaketenstr.;30/50;GSS;Universitaet;50;;;;;;
12.01.2024;11.03.2024;9256;;Eichhornstr.;50;36;Hoernle;50;;;13.03.2024;;;
16.01.2024;20.03.2024;Viasis;;Flurweg/Egg;10;5;Egger Wiese;30;27.02.;;08.10.2024;;;
20.11.2023;30.01.2024;9018;;Gartenstr.;30;Pflegeheim;Zasiusstr.;50;;;;;;
21.11.2023;11.03.2024;2262;;Wollmatinger Str.;50;43;Zaehringerplatz;50;;Daten (11.03.24 bis 10:00 Uhr) werden noch gezogen;Rohdaten fehlen;;;
18.01.2024;12.02.2024;8710;;Breslauer Str.;30;Schule;Hardtstr.;50;;;28.02.2024;;;
30.01.2024;09.04.2024;0715;;Mainaustr.;50;90;Faehre;50;HO NARRO!;;24.04.2024;;;
30.01.2024;09.04.2024;6047;;Bruder-Klaus-Str.;30;2;Schneckenburgstr-;50;HO NARRO!;;24.04.2024;;;
30.01.2024;09.04.2024;9018;X;Gartenstr.;30;Ecke Kapplersgutweg;Neue Bruecke;50;HO NARRO!;;24.04.2024;;;
12.02.2024;27.02.2024;8710;;Kindlebildstr.;50;26;Radolfzellerstr.;50;;;20.06.2024;;;
13.02.2024;29.04.2024;5797;;Radolfzeller Str.;30;20;Riedstr.;50;;;07.05.2024;;;
13.02.2024;09.04.2024;8818;;Allmansdorfer Str.;50;28;Mainaustr.;50;;;24.04.2024;;;
27.02.2024;19.03.2024;8710;;Kindlebildstr.;50;Feursteinstr.;Reichenau;70;;;20.06.2024;;;
11.03.2024;29.04.2024;8100;;Torkelbergstrasse;30;7;H.-M.-Schleyer-Str.;50;;;08.05.2024;;;
11.03.2024;13.05.2024;9256;;Eichhornstr.;50;36;Mainaustr.;50;;;20.06.2024;;;
11.03.2024;20.03.2024;2262;;Wollmatinger Str.;50;43;Friedhof;50;Daten gezogen(Auch FR.Zaehringerpl.);;Rohdaten fehlen;;;
19.03.2024;29.04.2024;Viasis;;Clara-Schumann-Str.;10;2;Eichhornstrasse;30;;;05.09.2024;;;
19.03.2024;13.05.2024;Viasis;;Rheinsteig ;30;gg.Klostergasse;Bruecke;50;;;Keine Rohdaten!;;;
19.03.2024;13.05.2024;1415;;Hoheneggstr.;30;7;Staaderstr.;50;;;20.06.2324;;;
19.03.2024;21.05.2024;8710;;Kindlebildstr.;30;30;Radolfzellerstr.;50;;;20.06.2024;;;
20.03.2024;29.04.2024;Viasis;;Flurweg/Egg;10;5;Mainaustr.;30;DEFEKT!!!;;Keine Rohdaten!;;;
20.03.2024;13.05.2024;2262;;Wollmatingerstr.;50;43;Friedhof;50;;;21.06.2024;;;
09.04.2024;03.06.2024;6047;;Laengerbohlstr.;30;25;Buhlenweg;100;;;21.06.2024;;;
09.04.2024;17.06.2024;9018;;Taborweg;30;13;Pfeiferhoelzle;30;;;21.06.2024;;;
09.04.2024;03.06.2024;0751;;Mainaustr.;50;96;Stadteinwaerts;50;;;24.06.2024;;;
09.04.2024;17.06.2024;8815;;Allmansdorfer Str.;50;25;Zaehringerplatz;50;Geraet Defekt ausser Betrieb;;24.06.2024;;;
29.04.2024;24.06.2024;8100;;Schiffstr.;50;20;Faehre;50;;;26.06.2024;;;
29.04.2024;03.06.2024;Viasis;;Hoeriblick;10;9;Stifterstr.;50;;;16.10.2024;;;
29.04.2024;01.07.2024;5797;;Radolfzeller Str.;30;20;Kindlebildstrasse;50;;;13.08.2024;;;
13.05.2024;08.07.2024;9256;;Eichhornstr.;30;Hotel Waldhaus Jakob;Hoernle;50;;;13.08.2024;;;
13.05.2024;15.07.2024;1415;;Hoheneggstr.;30;7;Schiffstrasse;50;;;14.08.2024;;;
13.05.2024;24.06.2024;Viasis;;Stockackerweg;30;78-81;Am Pfeiferhoelzle;50;;;08.10.2024;;;
13.05.2024;15.07.2024;2262;;Reichenaustr.;60;Mercedes-Benz;Flughafen;50;;;14.08.2024;;;
21.05.2024;22.07.2024;8710;;Kindlebildstr.;30;30;ZPR;50;;;14.08.2024;;;
03.06.2024;22.07.2024;6047;;Laengerbohlstr.;30;25;Hoeriblick;100;;;16.08.2024;;;
03.06.2024;17.06.2024;0751;;Mainaustr.;30(Baustelle);96;Stadteinwaerts;50;Ampelregelung Baustelle;Daten nicht Aussagefaehig, Umstellung 30 km/h-50 km/h;24.06.2024 nicht Aussagefaehig;;;
03.06.2024;22.07.2024;Viasis;;Muehlbachweg;10;12;Ortsmitte;50;;;16.10.2024;;;
06.05.2024;24.06.2024;Viasis;;Zum Hussenstein;10;7;Zoll/CH;50;;Geraet ab 24.06.24 Defekt!!!;16.10.2024;;;
17.06.2024;12.08.2024;9018;;Am Pfeiferhoelzle;30;18;Stockackerweg;50;Beschwerde!;Unfall Bus 02.07.23/ Halterung erneuert Test OK;13.08.2024;;;
17.06.2024;01.07.2024;0751;;Mainaustr.;50;96;Stadteinwaerts;50;;;04.09.2024;;;
24.06.2024;19.08.2024;8100;;Schiffstr.;50;20;Mainaustr.;50;;;04.09.2024;;;
24.06.2024;12.08.2024;Viasis;;Griesseggstr.;30;11;Gartenstr.;50;;;16.10.2024;;;
01.07.2024;26.08.2024;5797;;Radofzeller Str.;30;63;Engelsteig;50;;;04.09.2024;;;
01.07.2024;16.09.2024;8815;;Buhlenweg;30;11a;Schwaketenstr.;50;;;26.09.2024;;;
01.07.2024;19.08.2024;0751;;Jacob-Burckhard-Str.;30;23;Friedrichstr.;50;;;04.09.2024;;;
08.07.2024;19.08.2024;9256;;Eichhornstrasse ;30;Hoehe Waldhaus Jakob;Rosenau;50;;;04.09.2024;;;
15.07.2024;30.09.2024;1415;;Reichenaustr.;50/30;Ecke A.-Schmid-Str.;Spanierstr.;50;;;16.10.2024;;;
15.07.2024;26.08.2024;2262;;Reichenaustr.;60;Mercedes-Benz;Adam-Opel-Str.;50;;;04.09.2024;;;
22.07.2024;30.09.2024;8710;;Buecklestr.;30;70;Oberlohnstrasse;50;;;09.10.2024;;;
22.07.2024;30.09.2024;6047;;Mainaustr. ;30;gg.30;Faehre;50;;;09.10.2024;;;
22.07.2024;26.08.2024;Viasis;;Muehlbachweg;30;96;Dettingen;30;;;16.10.2024;;;
12.08.2024;02.09.2024;Viasis;;Griesseggstr.;30;11;Gottlieber Zoll;50;;;04.09.2024;;;
12.08.2024;30.09.2024;9018;;Breslauer Strasse ;30;Schule;Riedstrasse;50;;;16.10.2024;;;
19.08.2024;07.10.2024;8100;;Mainaustrasse;30;gg. Schule;Staad;50;;;16.10.2024;;;
19.08.2024;02.09.2024;0751;;Sonnenbuehlstr.;30;36b;Friedrichstrasse;50;;Spionmodus;26.09.2024;;;
19.08.2024;07.10.2024;9256;;Eichhornstrasse ;50;10;Mainaustr.;50;;;16.10.2024;;;
26.08.2024;09.09.2024;5797;;Schwaketenstr.;50;Grundschule;Radolfzeller Str.;100;;Schulferien;26.09.2024;;;
26.08.2024;15.10.2024;2262;;Sonnentauweg;30;35;Buhlenweg;100;;;06.11.2024;;;
26.08.2024;15.10.2024;Viasis;;An der Steig;10;5;Hermann-von-Vicari;40;;;16.10.2024;;;
02.09.2024;09.09.2024;9621;;Fritz-Arnold-Str.;50;17;Siemensstr.;50;;;26.09.2024;;;
02.09.2024;30.09.2024;0751;;Sonnenbuehlstr.;30;36b;Friedrichstrasse;50;;;16.10.2024;;;
02.09.2024;05.11.2024;4354;;Karlsruher Strasse;30;ggue. 15;Hardtstrasse;50;;;06.11.2024;;;
02.09.2024;30.09.2024;Viasis;;Mannheimer Strasse;10;5;Muehlenweg;70;;;16.10.2024;;;
09.09.2024;05.11.2024;9621;;Fritz-Arnold-Str.;30/50;17;Siemensstr.;50;;;06.11.2024;;;
09.09.2024;11.11.2024;5797;;Schwaketenstr.;50;Grundschule;Radolfzeller Str.;100;;;12.11.2024;;;
16.09.2024;11.11.2024;8815;;Buhlenweg;30;11a;Fuerstenbergstr.;50;;;27.11.2024;;;
30.09.2024;19.11.2024;9018;;Breslauerstr.;30;Schule;Hardstr.;50;;;27.11.2024;;;
30.09.2024;28.10.2024;Viasis;;Kreuzlingerstr.;30;42;Emmishoferstr.;50;;;06.11.2024;;;
30.09.2024;25.11.2024;6047;;Mainaustr.;30;gg. 30;Egg;50;;;27.11.2024;;;
30.09.2024;25.11.2024;0751;;Sonnenbuehlstr.;30;36b;Mainaustr.;50;;;27.11.2024;;;
30.09.2024;19.11.2024;8710;;Buecklestr.;30;70;Schneckenburgstr.;50;;;27.11.2024;;;
30.09.2024;25.11.2024;1415;;Reichenaustr.;30/50;gg. 7a;Schneckenburgstr.;50;;;27.11.2024;;;
07.10.2024;02.12.2024;8100;;Mainaustrasse;30;gg. Schule;stadteinwaerts;50;;;02.12.2024;;;
07.10.2024;02.12.2024;9256;;Wollmatingerstr.;50;70 (vor dm);Taborweg;50;;;11.12.2024;;;
15.10.2024;05.11.2024;Viasis;;An der Steig;10;5;Oberstegle;40;;;16.11.2024;;;
15.10.2024;02.12.2024;2262;;Reutestr.;30;54;Hardtstrasse;50;;;Rohdaten fehlerhaft!;;;
28.10.2024;02.12.2024;Viasis;;Kreuzlinger Str.;30;24;Emmishofer Strasse;30;;Neuer 30 km/h Bereich;07.01.2025;;;
05.11.2024;13.01.2025;4354;;Rheingutstr.;30;39;HTWG;50;;;14.01.2025;;;
05.11.2024;27.01.2025;Viasis;;Wallgutstr.;20;Wallgutstr./Bruelstr.;Obere Laube;30;10.01.2025;Baustelle;29.01.2025;;;
05.11.2024;16.12.2024;9621;;Schwaketenstr.;30/50;GSS;Universitaet;50;;;07.01.2025;;;
11.11.2024;11.12.2024;5797;;Jungerhalde;30;26;AWO Pflegeheim;50;;;07.01.2025;;;
11.11.2024;13.01.2025;8815;;Mainaustr. Egg;30;210;Ortsmitte;30;;;14.01.2025;;;
19.11.2024;03.02.2025;8710;;Allmannsdorferstr.;30;82;Zaehringerplatz;50;;Neuer 30 km/h Bereich;04.02.2025;;;
19.11.2024;03.02.2025;9018;;Zaehringerplatz;30;Schule;Allmannsdorferstr.;30;10.01.2025;Neuer 30 km/h Bereich;04.02.2025;;;
25.11.2024;03.02.2025;0751;;Im Loh;30;Volapuek;Ortsmitte;30;;Neuer 30 km/h Bereich;04.02.2025;;;
25.11.2024;03.02.2025;1415;;Theodor-Heuss-Str.;30;27;Sternenplatz;50;;Neuer 30 km/h Bereich;04.02.2025;;;
25.11.2024;10.12.2024;6047;;Friedrichstrasse;50;65;Zaehringerplatz;50;;Voreingestellt auf neue 30 km/h Zone (SP);11.12.2024;;;
02.12.2024;13.12.2024;8100;;Fuerstenbergstrasse;50;16;Hardtstrasse;50;;;07.01.2025;;;
02.12.2024;03.02.2024;9256;;Wollmatingertrasse;50;70;Steinstrasse;50;;;11.02.2025;;;
02.12.2024;03.02.2024;2262;;Reutestr.;30;54;Elberfeldstrasse;50;;;04.02.2025;;;
02.12.2024;20.01.2025;Viasis;;Mainaustrasse;50;;Staad;50;10.01.2025;Daten erstmals am 10.01.2025 gezogen;29.01.2025;;;
10.12.2024;20.01.2025;6047;;Friedrichstrasse;30;65;Zaehringerplatz;50;;Neuer 30 km/h Bereich;29.01.2025;;;
11.12.2024;10.02.2025;5797;;Kapitaen-Romer-Str.;40;Ortseinfaht Friedhof;Ortsmitte;50;;;11.02.2025;;;
13.12.2024;10.02.2025;8100;;Fuerstenbergstr.;30;16;Hardtstr.;50;;Neuer 30 km/h Bereich;11.02.2025;;;
16.12.2024;24.02.2025;9621;;Riedstr.;30;1;Breslauerstrasse;50;10.01.2025;Neue 30 km/h Bereich;03.03.2025;;;
13.01.2025;20.01.2025;4354;;Am Pfeiferhoelzle;30;16;Stockackerweg;50;;;GeDi Defekt !!!/29.01.2025;;;
13.01.2025;24.02.2025;8815;;Mainaustr. Egg;30;210;Ortsausgang;50;;;03.03.2025;;;
20.01.2025;10.03.2025;Viasis;;Spanierstrasse;30;KIGA;Benediktienerplatz;50;Faelle gezogen 18.02.25;;27.03.2025;;;
20.01.2025;17.03.2025;6047;;Friedrichstr.;30;65;Sonnenbuehlstr.;50;;;19.03.2025;;;
27.01.2025;03.02.2025;Viasis;;Schneckenburgstrasse;20;Gottmannplatz;Friedhof;50;;;28.03.2025;;;
03.02.2025;24.03.2025;9018;;Zaehringerplatz;30;Ecke im Neugut;Th.-Heuss-Str.;50;;;;;;
03.02.2025;24.03.2025;8710;;Allmannsdorferstr.;30;36;Mainaustrasse;50;;;27.03.2025;;;
03.02.2025;01.04.2025;0751;;Mainaustr.;30;gg.Fa.Spiegel;Egg;50;;Zeitumstellung 31.03.25;24.04.2025;;;
03.02.2025;24.03.2025;1415;;Th.-Heuss-Str.;30;27;Zaehringerplatz;50;;;27.03.2025;;;
03.02.2025;10.03.2025;2262;;Schneckenburgstr. ;20;Gottmannplatz;Friedhof;50;;Baustelle !;19.03.2025;;;
03.02.2025;17.03.2025;Viasis;;Schreibergasse;10;KIGA;Rheinsteig;30;;;28.03.2025;;;
