Start;Ende;"GeDi 
Nummer";ohne Panel;Strasse;Geschwindigkeit;Haus-Nr.;Fahrtrichtung;"Reichweite 
in Meter";"Akkuwechsel
oder Dateiname";;;;;
24.11.2020;18.02.2021;8710;;Bodanstr.;30;Hoehe Denns;Laube;50;14.12.2020;;;;;
24.11.2020;23.02.2021;0751;;Reichenaustr.;"Tags 50 ; Nachts 30";Hoehe Hollys;Spanierstrasse;40;14.12.2020;;;;;
24.11.2020;18.02.2021;9621;;Feuersteinstr.;30;7;Zfp;50;21.12.2020;;keine Rohdatei;;;
30.11.2020;02.03.2021;8815;;Taborweg;30;13;Pfeiferhoelzle;40;18.12.2020;;keine Rohdatei;;;
11.12.2020;28.01.2021;0052;;Schwaketenstr.;generell auf 30 eingestellt;Grundschule;GSS;50;;;;;;
14.12.2020;28.01.2021;9256;;Friedrich Str.;50;65;Zaehringerplatz;50;;;;;;
11.01.2021;09.03.2021;8116;;Buhlenweg ;30;gg.23;Fuerstenbergstr.;40;;;;;;
12.01.2021;10.05.2021;0491;;Rheinsteig ;30;Hoehe Zoffingen;Laube;50;"Daten am 09.03.2021 gezogen
Statistik erstellt";;;;;
12.01.2021;02.03.2021;9018;;Mainaustr. Dreherkurve;50;98;Faehre;50;;;keine Rohdatei;;;
19.01.2021;18.02.2021;Viasis;;Zum alten Saegewerk;Verkehrsberuhigt;10;Einwaerts;25;;;Viasis;;;
25.01.2021;09.03.2021;Viasis;;Karlsruherstr.;30;4;Riedstr.;30;;;Viasis;;;
25.01.2021;23.03.2021;1415;;Riedstr.;50;5 bis 7;Wollmatinger-Bahnhof;50;;;;;;
28.01.2021;02.03.2021;0052;;Schwaketenstr.;generell auf 30 eingestellt;Grundschule;Radolfzeller Str.;50;;;keine Rohdatei;;;
28.01.2021;02.03.2021;9256;;Friedrich Str.;50;65;Universitaetsstr.;50;;;;;;
18.02.2021;09.03.2021;8710;;Bodanstr.;30;Hoehe Denns;Bahnhof;50;;;;;;
18.02.2021;03.05.2021;9621;;Austr.;30;75-77;Fuerstenberg;50;;;;;;
18.02.2021;06.04.2021;Viasis;;Eichbuehlstr.;30;KiGa;Ortsausgang;40;09.03.2021;;Viasis;;;
23.02.2021;03.05.2021;0751;;Reichenaustr.;"Tags 50 ; Nachts 30";Hoehe Hollys;Bruecke;40;;;Statistik erfasst Tag/Nacht nicht;;;
02.03.2021;23.03.2021;0052;;Felchengang;30 / Anliegerstr.;25a;Staader Strasse;40;;;;;;
02.03.2021;23.03.2021;8815;;Staader Strasse;30;28;Felchengang;50;;;;;;
02.03.2021;10.05.2021;9018;;Mainaustr. Dreherkurve;50;98;Stadteinwaerts;50;;;;;;
03.03.2021;03.05.2021;9256;;Bruder-Klaus-Str.;30;14;von-Emmich-Str;100;;;;;;
